iter	Passed	Remaining
0	0	92
1	1	85
2	2	82
3	3	74
4	4	78
5	6	98
6	7	94
7	7	90
8	8	87
9	9	84
10	10	81
11	10	79
12	11	77
13	12	76
14	13	74
15	14	74
16	14	72
17	15	71
18	16	69
19	17	68
20	17	67
21	18	66
22	19	65
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	58
32	28	57
33	29	56
34	30	55
35	30	54
36	31	53
37	32	52
38	33	51
39	34	51
40	36	51
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
